video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at,search_term
/watch?v=OFS8SpwioZ4&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@Netflix,Netflix,CRIP CAMP: A DISABILITY REVOLUTION | Full Feature | Netflix,1M,5 years,"On the heels of Woodstock, a group of teen campers are inspired to join the fight for disability civil rights. This spirited look at ...",2026-01-22 06:01:48.786623,disability rights
/shorts/PTqcgB0VoLM,/@thecaliforniaendowment9810,The California Endowment ,Disability Rights are worth fighting for!,853,6 months,"We often find ourselves repeating history—including protests for our rights. Whether it be the Capitol Crawl in 1990, or the ...",2026-01-22 06:01:48.787828,disability rights
/shorts/WhbtsCaP0b4,/@TheFuturePerfectProject,The Future Perfect Project,#Disability rights for all this pride! Full ep on our channel #neurodivergent #pridemonth  #lgbtq,1.5K,2 years,"The Future Perfect Project is a non-profit organization dedicated to amplifying the voices of LGBT+ youth through music, animation ...",2026-01-22 06:01:48.789106,disability rights
/watch?v=rAdP5aEfQmw&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@YourCivilRightsGuide,Your Civil Rights Guide,What Are Disability Human Rights? - Your Civil Rights Guide,151,8 months,What Are Disability Human Rights? Disability human rights represent the essential rights and freedoms that every individual with a ...,2026-01-22 06:01:48.791190,disability rights
/watch?v=iXMcFzcoI0Y&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@ArizonaAttorneyGeneralMayes,Arizona Attorney General's Office,Housing Discrimination - Disability Rights | Attorney General Kris Mayes,60,1 year,... disability that could be illegal under the Arizona Fair Housing Act protect your rights by Saving important housing paperwork ...,2026-01-22 06:01:56.462779,disability rights
/shorts/10KFPmOzGt0,/@ABC7Chicago,ABC 7 Chicago,"Judy Heumann, renowned disability rights activist, dies at 75",2.5K,2 years,"Judy Heumann, a renowned activist who helped secure legislation protecting the rights of disabled people, has died at age 75.",2026-01-22 06:01:56.464225,disability rights
/shorts/-7gixBSAZx4,/@disabilitylawgroup,Disability Law Group,Activities that Destroy your Disability Case,1.4K,4 months,These are the top activities that destroy disability cases. This doesn't mean that you are completely unable to do any of these ...,2026-01-22 06:01:56.465589,disability rights
/watch?v=Umt7hsl6TeM&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@Channel3000,Channel 3000 / News 3 Now,Disability rights community praises bill to remove offensive word from state law,121,6 years,There is a new effort underway to remove an offensive word from Wisconsin state law.,2026-01-22 06:01:56.466800,disability rights
/watch?v=rELGQu2ulSI&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@tvotoday,TVO Today,The Fight to Enshrine Disability Rights | The Agenda,1.2K,1 year,The Fight to Enshrine Disability Rights David Lepofsky joins The Agenda to talk about his own journey with disability and his work ...,2026-01-22 06:01:56.468009,disability rights
/shorts/O6P0kaKZFME,/@thearc_us,The Arc of the United States,Michael Shares What You Can Do to Advocate for Disability Rights,1K,2 years,"Michael, a legislative advocate for The Arc of Philadelphia, relies on Medicaid benefits to live the life he chooses in his community.",2026-01-22 06:01:56.469103,disability rights
/watch?v=AurU75piI4c&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@TouretteTV,Tourette Association of America,Adult Task Force Webinar Series - Workplace Accommodations and Disability Rights,1.1K,6 years,"The first webinar, as part of a six-part series designed for adults with Tourette Syndrome, will be focused on understanding your ...",2026-01-22 06:01:56.470723,disability rights
/watch?v=q439Xu6m95Y&pp=ygURZGlzYWJpbGl0eSByaWdodHPSBwkJhwoBhyohjO8%3D,/@TEDEdStudentTalks,TED-Ed Student Talks,Disability Rights in Education,1.3K,1 year,"Through his own experiences, Joe breaks down some of the many challenges he faces being a person with a disability. At the end ...",2026-01-22 06:01:56.471797,disability rights
/watch?v=kufNcLzp4YY&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@wcmhnbc4columbus,NBC4 Columbus,Disability Rights Ohio's 5-year legal battle,1.1K,3 years,"COLUMBUS, Ohio (WCMH)--Ohioans with disabilities gain independence after long legal battle. Stay informed about Columbus ...",2026-01-22 06:01:56.473226,disability rights
