video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at,search_term
/watch?v=kWouwzIHnxw&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@marylandersonline,Marylanders Online,Accessibility for the Intellectually Disabled Community,56,1 year,Gain a deeper understanding of accessible and assistive technology that can support individuals with intellectual disabilities and ...,2026-01-22 06:02:36.259849,disabled community
/watch?v=7lhKF33pshY&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@officialwestchestergovvide4703,Official Westchester Gov Videos,The Census and our Disabled Community,238,5 years,"This third PSA features Janet Lokay, Assistant to the County Executive. As an advocate for people with disabilities, Lokay stressed ...",2026-01-22 06:02:36.262141,disabled community
/watch?v=UEW6TOef9mE&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@cbcbarbados246,Caribbean Broadcasting Corporation,Plans to serve the disabled community forging ahead,713,3 years,Government's plans to better serve the disabled community continue to forge ahead. Anmarie Bailey has the details. Subscribe to ...,2026-01-22 06:02:36.263238,disabled community
/watch?v=nNy-eq7S-Fo&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR50gcJCYcKAYcqIYzv,/@ABC10,ABC10,How disabled community could face hurdles ahead of vaccination,232,4 years,People with disabilities and their family members share in the excitement and fears of eligibility opening March 15. Subscribe at: ...,2026-01-22 06:02:36.269135,disabled community
/watch?v=A0-vxzxExLU&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@everyonecanuk,Everyone Can,How our gaming sessions help the disabled community!,141,5 years,Find out from parents what they think of our gaming sessions and how it is helping their children.,2026-01-22 06:02:36.271190,disabled community
/shorts/CrKaAEsdb4M,/@LifetotheMaxPodcast,Life to the Max Podcast,Disabled Community Strength: A Unified Voice #shorts,266,4 months,"Together, we're stronger Keeping the disabled community connected means more support, more voices, and more change.",2026-01-22 06:02:36.272749,disabled community
/watch?v=v5MCjuYoPsM&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@janete_weinstein,Janete Weinstein ,Plane Pull to support the local disabled community | California,10,3 years,Can you imagine pulling a 100 thousand pound airplane? That is what happened right here in our backyard. The airport teamed ...,2026-01-22 06:02:36.275956,disabled community
/watch?v=PX9reO3QnUA&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@CNN,CNN,Trump mocks reporter with disability,9.9M,10 years,"Donald Trump is under fire again, this time for mocking a New York Times reporter that suffers from a chronic condition.",2026-01-22 06:02:36.277061,disabled community
/watch?v=qH_ysGAaNUI&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@KHONNewsHawaii,KHON2 News,Cracked sidewalks create obstacles for Molokai's disabled community,86,12 years,A video that reveals the disrepair of sidewalks and walkways on Molokai has grabbed the attention of island residents and ...,2026-01-22 06:02:36.278177,disabled community
/watch?v=H2zJiMPGZAs&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@11Alive,11Alive,Advocates for disabled community push to get vaccine sooner,181,4 years,The families and advocates for people with developmental disabilities is pushing to get them vaccines sooner.,2026-01-22 06:02:36.280444,disabled community
/watch?v=HnYpfrTI0FQ&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@DavacrestHUB,Davacrest HUB,Let's uplift the Disabled community together!,393,9 months,Davacrest Hub was born out of a mother's passion and resilience in raising her son who is living with Cerebral Palsy. Her journey ...,2026-01-22 06:02:36.283671,disabled community
/watch?v=zE7Iej1q_R8&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@bigcountryhomepage7078,BigCountryHomepage,Housing Authority to create affordable housing for disabled community,47,7 years,Housing Authority to create affordable housing for disabled community.,2026-01-22 06:02:36.284876,disabled community
/watch?v=cSWw05o9oE4&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@nationalhousingresourcecen3953,National Housing Resource Center,The Disabled Community  How We Can Serve Them Better,141,4 years,So this is our mission statement we partner with people with disabilities their families and their allies to create and sustain ...,2026-01-22 06:02:44.949341,disabled community
/watch?v=lJpsdEL197Y&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@PIX11News,PIX11 News,Daniel`s Music hopes to build bridge between disabled community and non-disabled,108,6 years,"Daniel`s Music, a non-profit that provides free music programs for people with disabilities, has now started a ""Baby and Me"" class.",2026-01-22 06:02:44.953829,disabled community
/watch?v=F9_7Dl7-Azg&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@680news,680 NEWS,"Disabled community feels overlooked during pandemic, say advocates",57,5 years,Disability advocates say many in the community are feeling overlooked by the government during the coronavirus pandemic.,2026-01-22 06:02:44.957584,disabled community
/watch?v=5Io5NAt9Ndc&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@bigcountryhomepage7078,BigCountryHomepage,Housing Authority to create affordable housing for disabled community,460,7 years,Housing Authority to create affordable housing for disabled community.,2026-01-22 06:02:44.962043,disabled community
/watch?v=hZccQWpIMQE&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@awenetwork8282,AWE Network,"Including the Disabled Community in Resilience, Response and Recovery",5,3 months,Join the AWE Network with Renee Santos to hear more about ways to rethink inclusion in emergencies and learn how we can ...,2026-01-22 06:02:44.963184,disabled community
/watch?v=EB7VFC3yapg&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@nowthisimpact,NowThis Impact,Ola Ojewumi on the Racial Divide in the Disabled Community,10K,3 years,'One of the biggest divides in the disabled community is race' — Activist Ola Ojewumi says it's time for the white disability ...,2026-01-22 06:02:44.965488,disabled community
/watch?v=OwbUExB6OJU&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@KingCountyTV,KingCountyTV,The Disabled Community's History of Advocacy,102,1 year,The King County Archives uncovers advocacy and partnerships dating back to the 1940's. A new state grant and a digital scanner ...,2026-01-22 06:02:44.969147,disabled community
/watch?v=E_AwucJhrq4&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@cbssacramento,CBS News Sacramento,"Sidewalk showdown underway between disabled community and city, county over homeless camps",1.9K,2 years,Sacramento's disabled community is suing the city and county to clear the sidewalks of encampments they say violate the ...,2026-01-22 06:02:44.970390,disabled community
/watch?v=h06ZAASzuQg&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@CBSNews,CBS News,Members of disabled community struggle to get COVID shots as eligibility expands,12K,4 years,"Now that the coronavirus vaccine is available to all adult Americans, the Biden administration is working to make sure that ...",2026-01-22 06:02:44.975675,disabled community
/watch?v=qTvRSQ5p6xQ&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@thefamilycafe17,The Family Cafe,Disaster Recovery Support for the Disabled Community,28,6 months,"This My Needs Network initiative is a collaborative effort that integrates AI technology, community-based participatory research ...",2026-01-22 06:02:44.977957,disabled community
/shorts/iPVBM5vgMgg,/@palmermediapods,Palmer Media,AI's Transformative Power for the Disabled Community | Dr. Amy Lomellini on Trending in Ed,62,10 months,Dr. Amy Lomellini is the Director of Accessibility for Anthology. Here she highlights how AI can really be a game changer for the ...,2026-01-22 06:02:44.979106,disabled community
/watch?v=QqRIr009zCQ&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@Wate6News,WATE 6 On Your Side,Emory Valley Center continues to serve disabled community in Anderson County,45,7 months,The Emory Valley Center is a grassroots organization in the heart of Oak Ridge that serves thousands of people in their ...,2026-01-22 06:02:44.980319,disabled community
/watch?v=RbNFb2fkgcU&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR50gcJCYcKAYcqIYzv,/@GlendaleArizona,Glendale Arizona,Glendale's Empowerment Expo unites the disabled community with service providers.,118,9 years,"Showcasing the ability, mobility, and adaptability for special needs in the work place, the City of Glendale holds the Empowerment ...",2026-01-22 06:02:44.981390,disabled community
/watch?v=stm4uAf-obg&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@KHONNewsHawaii,KHON2 News,State helps disabled community affected by pandemic,161,4 years,State helps disabled community affected by pandemic.,2026-01-22 06:02:44.983103,disabled community
/watch?v=ywsKyFMuklM&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@IcsnyOrgHealth,Independence Care System (ICS),Daniel Tratt and ICS's incredible support to the disabled community,55,7 years,"THUMBS UP if you liked this video, please SHARE IT! Daniel Tratt is former president and current board member of the New York ...",2026-01-22 06:02:44.984137,disabled community
/watch?v=ZSU5khOBwqg&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@cbcbarbados246,Caribbean Broadcasting Corporation,Call for inclusion of disabled community,659,3 years,"Barbadians can and should do more to support the disabled community. This from Director of the National Disabilities Unit, John ...",2026-01-22 06:02:44.985199,disabled community
/watch?v=BpRTn7c5yc8&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@WTHR13News,WTHR,Advocates urge disabled community to vote,132,1 year,The Caravan for Disability and Justice 2024 visited Wednesday.,2026-01-22 06:02:44.988184,disabled community
